Data,Organisation unit,Period,Value,Numerator,Denominator,Factor,Multiplier,Divisor
LSB: Women 15-49 years for FP target group (Estimated),0102 Sikhottabong,2018,40763,,,,,
LSB: Survival under 1 year (Estimated),1311 Xaibouli,2020,1233,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0102 Sikhottabong,2017,40217,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0102 Sikhottabong,2016,39628,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0102 Sikhottabong,2015,38974,,,,,
LSB: Children under 5 years (Estimated),1503 Dakchung,2015,4250,,,,,
LSB: Children under 5 years (Estimated),1503 Dakchung,2016,4174,,,,,
LSB: Children under 5 years (Estimated),1503 Dakchung,2017,4099,,,,,
LSB: Children under 5 years (Estimated),1503 Dakchung,2018,4018,,,,,
LSB: Children under 5 years (Estimated),1503 Dakchung,2019,3940,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0805 Xianghon,2023,759,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0805 Xianghon,2022,774,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0805 Xianghon,2021,789,,,,,
LSB: Births Live (Estimated),1209 Xaibouathong,2015,826,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0805 Xianghon,2020,808,,,,,
LSB: Births Live (Estimated),1209 Xaibouathong,2016,863,,,,,
LSB: Births Live (Estimated),1209 Xaibouathong,2017,847,,,,,
LSB: Births Live (Estimated),1209 Xaibouathong,2018,831,,,,,
LSB: Births Live (Estimated),1209 Xaibouathong,2019,811,,,,,
LSB: Population (Estimated-single age),0811 Xaisathan,2022,17751,,,,,
LSB: Population (Estimated-single age),0811 Xaisathan,2023,18056,,,,,
LSB: Births Live (Estimated),1202 Mahaxai,2019,938,,,,,
LSB: Births Live (Estimated),1202 Mahaxai,2018,956,,,,,
LSB: Births Live (Estimated),1202 Mahaxai,2017,970,,,,,
LSB: Births Live (Estimated),1202 Mahaxai,2016,982,,,,,
LSB: Births Live (Estimated),1009 Viangkham (Vientiane),2021,334,,,,,
LSB: Births Live (Estimated),1202 Mahaxai,2015,1013,,,,,
LSB: Births Live (Estimated),1009 Viangkham (Vientiane),2020,333,,,,,
LSB: Births Live (Estimated),1009 Viangkham (Vientiane),2023,334,,,,,
LSB: Births Live (Estimated),1009 Viangkham (Vientiane),2022,333,,,,,
LSB: Births Live (Estimated),1009 Viangkham (Vientiane),2016,337,,,,,
LSB: Births Live (Estimated),1009 Viangkham (Vientiane),2015,343,,,,,
LSB: Births Live (Estimated),1009 Viangkham (Vientiane),2018,336,,,,,
LSB: Births Live (Estimated),1009 Viangkham (Vientiane),2017,337,,,,,
LSB: Births Live (Estimated),1009 Viangkham (Vientiane),2019,335,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1307 Thapangthong,2022,12620,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0805 Xianghon,2019,826,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1307 Thapangthong,2023,12973,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0805 Xianghon,2018,842,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0805 Xianghon,2017,857,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0805 Xianghon,2016,760,,,,,
LSB: Children under 5 years (Estimated),1107 Xaichamphon,2018,1727,,,,,
LSB: Children under 5 years (Estimated),1202 Mahaxai,2023,4237,,,,,
LSB: Children under 5 years (Estimated),1202 Mahaxai,2022,4288,,,,,
LSB: Children under 5 years (Estimated),1107 Xaichamphon,2017,1767,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1310 Xonbouli,2020,1285,,,,,
LSB: Children under 5 years (Estimated),1202 Mahaxai,2021,4339,,,,,
LSB: Children under 5 years (Estimated),1107 Xaichamphon,2019,1391,,,,,
LSB: Children under 5 years (Estimated),1202 Mahaxai,2020,4393,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1310 Xonbouli,2023,1308,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1310 Xonbouli,2021,1268,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1307 Thapangthong,2020,11933,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1310 Xonbouli,2022,1290,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1307 Thapangthong,2021,12270,,,,,
LSB: Survival under 1 year (Estimated),0901 Pek,2016,1870,,,,,
LSB: Survival under 1 year (Estimated),0901 Pek,2015,1934,,,,,
LSB: Survival under 1 year (Estimated),0901 Pek,2018,1830,,,,,
LSB: Survival under 1 year (Estimated),0901 Pek,2017,1851,,,,,
LSB: Births Live (Estimated),1202 Mahaxai,2023,889,,,,,
LSB: Births Live (Estimated),1202 Mahaxai,2022,899,,,,,
LSB: Children under 5 years (Estimated),1107 Xaichamphon,2016,1803,,,,,
LSB: Survival under 1 year (Estimated),0901 Pek,2019,1808,,,,,
LSB: Births Live (Estimated),1202 Mahaxai,2021,909,,,,,
LSB: Children under 5 years (Estimated),1107 Xaichamphon,2015,1833,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1307 Thapangthong,2019,11607,,,,,
LSB: Births Live (Estimated),1202 Mahaxai,2020,919,,,,,
LSB: Survival under 1 year (Estimated),0901 Pek,2021,1757,,,,,
LSB: Survival under 1 year (Estimated),0901 Pek,2020,1783,,,,,
LSB: Survival under 1 year (Estimated),0901 Pek,2023,1702,,,,,
LSB: Survival under 1 year (Estimated),0901 Pek,2022,1730,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1307 Thapangthong,2015,10387,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1307 Thapangthong,2016,10692,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1307 Thapangthong,2017,10995,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1307 Thapangthong,2018,11297,,,,,
LSB: Births Live (Estimated),1209 Xaibouathong,2023,738,,,,,
LSB: Children under 5 years (Estimated),1202 Mahaxai,2016,4589,,,,,
LSB: Children under 5 years (Estimated),1202 Mahaxai,2015,4609,,,,,
LSB: Children under 5 years (Estimated),1107 Xaichamphon,2021,1336,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1310 Xonbouli,2016,1538,,,,,
LSB: Children under 5 years (Estimated),1202 Mahaxai,2019,4463,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1310 Xonbouli,2017,1310,,,,,
LSB: Children under 5 years (Estimated),1107 Xaichamphon,2020,1352,,,,,
LSB: Children under 5 years (Estimated),1107 Xaichamphon,2023,1549,,,,,
LSB: Children under 5 years (Estimated),1202 Mahaxai,2018,4518,,,,,
LSB: Children under 5 years (Estimated),1107 Xaichamphon,2022,1316,,,,,
LSB: Children under 5 years (Estimated),1202 Mahaxai,2017,4558,,,,,
LSB: Children under 5 years (Estimated),1209 Xaibouathong,2019,3826,,,,,
LSB: Births Live (Estimated),1209 Xaibouathong,2020,789,,,,,
LSB: Births Live (Estimated),1209 Xaibouathong,2021,773,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1310 Xonbouli,2018,1305,,,,,
LSB: Births Live (Estimated),1209 Xaibouathong,2022,757,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1310 Xonbouli,2019,1296,,,,,
LSB: Children under 5 years (Estimated),1209 Xaibouathong,2022,3655,,,,,
LSB: Children under 5 years (Estimated),1209 Xaibouathong,2023,3581,,,,,
LSB: Children under 5 years (Estimated),1209 Xaibouathong,2020,3801,,,,,
LSB: Children under 5 years (Estimated),1209 Xaibouathong,2021,3732,,,,,
LSB: Births Live (Estimated),1105 Khamkeut,2015,1882,,,,,
LSB: Births Live (Estimated),0702 Xiangkhoh,2019,726,,,,,
LSB: Births Live (Estimated),1105 Khamkeut,2017,1815,,,,,
LSB: Births Live (Estimated),1105 Khamkeut,2016,1843,,,,,
LSB: Births Live (Estimated),1105 Khamkeut,2019,1799,,,,,
LSB: Births Live (Estimated),0702 Xiangkhoh,2015,740,,,,,
LSB: Children under 5 years (Estimated),0106 Xaithani,2022,25443,,,,,
LSB: Births Live (Estimated),1105 Khamkeut,2018,1778,,,,,
LSB: Children under 5 years (Estimated),0106 Xaithani,2023,25367,,,,,
LSB: Births Live (Estimated),0702 Xiangkhoh,2016,773,,,,,
LSB: Births Live (Estimated),0702 Xiangkhoh,2017,756,,,,,
LSB: Children under 5 years (Estimated),0106 Xaithani,2020,25297,,,,,
LSB: Births Live (Estimated),0702 Xiangkhoh,2018,741,,,,,
LSB: Children under 5 years (Estimated),0106 Xaithani,2021,25420,,,,,
LSB: Births Live (Estimated),1105 Khamkeut,2020,1754,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1102 Thaphabat,2020,550,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1102 Thaphabat,2021,542,,,,,
LSB: Births Live (Estimated),1105 Khamkeut,2022,1717,,,,,
LSB: Children under 5 years (Estimated),0106 Xaithani,2019,24251,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1102 Thaphabat,2022,531,,,,,
LSB: Births Live (Estimated),1105 Khamkeut,2021,1737,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1102 Thaphabat,2023,520,,,,,
LSB: Children under 5 years (Estimated),0106 Xaithani,2017,22128,,,,,
LSB: Births Live (Estimated),1105 Khamkeut,2023,1647,,,,,
LSB: Children under 5 years (Estimated),0106 Xaithani,2018,23186,,,,,
LSB: Survival under 1 year (Estimated),1314 Xaiphouthong,2023,832,,,,,
LSB: Survival under 1 year (Estimated),1314 Xaiphouthong,2022,840,,,,,
LSB: Survival under 1 year (Estimated),1314 Xaiphouthong,2021,848,,,,,
LSB: Survival under 1 year (Estimated),1314 Xaiphouthong,2020,855,,,,,
LSB: Births Live (Estimated),0702 Xiangkhoh,2022,671,,,,,
LSB: Children under 5 years (Estimated),1009 Viangkham (Vientiane),2019,1613,,,,,
LSB: Survival under 1 year (Estimated),1314 Xaiphouthong,2016,812,,,,,
LSB: Survival under 1 year (Estimated),1314 Xaiphouthong,2015,896,,,,,
LSB: Births Live (Estimated),0702 Xiangkhoh,2023,652,,,,,
LSB: Children under 5 years (Estimated),1009 Viangkham (Vientiane),2018,1618,,,,,
LSB: Children under 5 years (Estimated),1009 Viangkham (Vientiane),2015,1635,,,,,
LSB: Survival under 1 year (Estimated),1314 Xaiphouthong,2019,845,,,,,
LSB: Survival under 1 year (Estimated),1314 Xaiphouthong,2018,835,,,,,
LSB: Children under 5 years (Estimated),1009 Viangkham (Vientiane),2017,1625,,,,,
LSB: Births Live (Estimated),0702 Xiangkhoh,2020,709,,,,,
LSB: Survival under 1 year (Estimated),1314 Xaiphouthong,2017,824,,,,,
LSB: Births Live (Estimated),0702 Xiangkhoh,2021,692,,,,,
LSB: Children under 5 years (Estimated),1009 Viangkham (Vientiane),2016,1629,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0904 Khoun,2015,8188,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0904 Khoun,2019,8744,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0904 Khoun,2018,8607,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0904 Khoun,2017,8467,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0904 Khoun,2016,8331,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1102 Thaphabat,2016,564,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1102 Thaphabat,2017,572,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1102 Thaphabat,2018,565,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1102 Thaphabat,2019,559,,,,,
LSB: Births Live (Estimated),0303 Long,2016,1180,,,,,
LSB: Births Live (Estimated),0303 Long,2017,1171,,,,,
LSB: Births Live (Estimated),0303 Long,2018,1159,,,,,
LSB: Births Live (Estimated),0303 Long,2019,1148,,,,,
LSB: Births Live (Estimated),0303 Long,2015,1051,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0904 Khoun,2023,9299,,,,,
LSB: Children under 5 years (Estimated),1009 Viangkham (Vientiane),2022,1604,,,,,
LSB: Children under 5 years (Estimated),0710 Xon,2019,2371,,,,,
LSB: Population (Estimated-single age),1503 Dakchung,2020,26495,,,,,
LSB: Population (Estimated-single age),1503 Dakchung,2021,26980,,,,,
LSB: Children under 5 years (Estimated),1009 Viangkham (Vientiane),2021,1606,,,,,
LSB: Population (Estimated-single age),1503 Dakchung,2022,27458,,,,,
LSB: Children under 5 years (Estimated),0710 Xon,2017,2401,,,,,
LSB: Children under 5 years (Estimated),0710 Xon,2018,2389,,,,,
LSB: Children under 5 years (Estimated),1009 Viangkham (Vientiane),2023,1604,,,,,
LSB: Population (Estimated-single age),1503 Dakchung,2023,27942,,,,,
LSB: Children under 5 years (Estimated),0710 Xon,2015,2410,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0904 Khoun,2022,9161,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0904 Khoun,2021,9020,,,,,
LSB: Children under 5 years (Estimated),0710 Xon,2016,2406,,,,,
LSB: Children under 5 years (Estimated),1009 Viangkham (Vientiane),2020,1607,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0904 Khoun,2020,8883,,,,,
LSB: Population (Estimated-single age),1503 Dakchung,2017,25051,,,,,
LSB: Population (Estimated-single age),1503 Dakchung,2018,25538,,,,,
LSB: Population (Estimated-single age),1503 Dakchung,2019,26026,,,,,
LSB: Survival under 1 year (Estimated),0706 Xamtai,2023,1028,,,,,
LSB: Population (Estimated-single age),0811 Xaisathan,2020,17102,,,,,
LSB: Survival under 1 year (Estimated),0706 Xamtai,2022,1053,,,,,
LSB: Population (Estimated-single age),0811 Xaisathan,2021,17418,,,,,
LSB: Survival under 1 year (Estimated),0706 Xamtai,2021,1078,,,,,
LSB: Population (Estimated-single age),1503 Dakchung,2015,24061,,,,,
LSB: Survival under 1 year (Estimated),0706 Xamtai,2020,1099,,,,,
LSB: Population (Estimated-single age),1503 Dakchung,2016,24562,,,,,
LSB: Children under 5 years (Estimated),0710 Xon,2022,2317,,,,,
LSB: Children under 5 years (Estimated),0710 Xon,2023,2296,,,,,
LSB: Population (Estimated-single age),0811 Xaisathan,2019,16771,,,,,
LSB: Children under 5 years (Estimated),0710 Xon,2020,2346,,,,,
LSB: Children under 5 years (Estimated),0710 Xon,2021,2331,,,,,
LSB: Survival under 1 year (Estimated),0706 Xamtai,2016,1138,,,,,
LSB: Survival under 1 year (Estimated),0706 Xamtai,2015,1034,,,,,
LSB: Population (Estimated-single age),0811 Xaisathan,2017,16103,,,,,
LSB: Survival under 1 year (Estimated),0706 Xamtai,2019,1111,,,,,
LSB: Population (Estimated-single age),0811 Xaisathan,2018,16442,,,,,
LSB: Survival under 1 year (Estimated),0706 Xamtai,2018,1120,,,,,
LSB: Population (Estimated-single age),0811 Xaisathan,2015,15424,,,,,
LSB: Survival under 1 year (Estimated),0706 Xamtai,2017,1129,,,,,
LSB: Population (Estimated-single age),0811 Xaisathan,2016,15761,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1313 Atsaphon,2016,15747,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1313 Atsaphon,2017,16071,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1313 Atsaphon,2015,15414,,,,,
LSB: Children under 5 years (Estimated),0811 Xaisathan,2016,1697,,,,,
LSB: Children under 5 years (Estimated),0811 Xaisathan,2017,1758,,,,,
LSB: Children under 5 years (Estimated),0811 Xaisathan,2015,1633,,,,,
LSB: Survival under 1 year (Estimated),1603 Bachiangchaleunsouk,2021,1153,,,,,
LSB: Survival under 1 year (Estimated),1603 Bachiangchaleunsouk,2020,1147,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1313 Atsaphon,2018,16394,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1313 Atsaphon,2019,16731,,,,,
LSB: Survival under 1 year (Estimated),1603 Bachiangchaleunsouk,2023,1157,,,,,
LSB: Survival under 1 year (Estimated),1603 Bachiangchaleunsouk,2022,1156,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1313 Atsaphon,2023,18272,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1313 Atsaphon,2021,17472,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1313 Atsaphon,2022,17871,,,,,
LSB: Survival under 1 year (Estimated),1603 Bachiangchaleunsouk,2019,1153,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1313 Atsaphon,2020,17096,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1302 Outhoumphon,2023,26931,,,,,
LSB: Population (Estimated-single age),0705 Houamuang,2018,34664,,,,,
LSB: Population (Estimated-single age),0303 Long,2016,36853,,,,,
LSB: Population (Estimated-single age),0705 Houamuang,2019,34933,,,,,
LSB: Population (Estimated-single age),0303 Long,2017,37676,,,,,
LSB: Population (Estimated-single age),0303 Long,2018,38509,,,,,
LSB: Population (Estimated-single age),0705 Houamuang,2016,34075,,,,,
LSB: Population (Estimated-single age),0303 Long,2019,39319,,,,,
LSB: Population (Estimated-single age),0705 Houamuang,2017,34364,,,,,
LSB: Population (Estimated-single age),0705 Houamuang,2015,33781,,,,,
LSB: Population (Estimated-single age),0303 Long,2015,36013,,,,,
LSB: Survival under 1 year (Estimated),1603 Bachiangchaleunsouk,2016,1156,,,,,
LSB: Survival under 1 year (Estimated),1603 Bachiangchaleunsouk,2015,1352,,,,,
LSB: Survival under 1 year (Estimated),1603 Bachiangchaleunsouk,2018,1157,,,,,
LSB: Survival under 1 year (Estimated),1603 Bachiangchaleunsouk,2017,1158,,,,,
LSB: Children under 5 years (Estimated),1407 Lao-ngam,2019,9413,,,,,
LSB: Children under 5 years (Estimated),1407 Lao-ngam,2015,10538,,,,,
LSB: Children under 5 years (Estimated),1407 Lao-ngam,2016,10233,,,,,
LSB: Children under 5 years (Estimated),1407 Lao-ngam,2017,9952,,,,,
LSB: Children under 5 years (Estimated),1407 Lao-ngam,2018,9678,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1408 Samouay,2019,4113,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1408 Samouay,2015,3501,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1408 Samouay,2016,3637,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1408 Samouay,2017,3783,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1408 Samouay,2018,3943,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0902 Kham,2015,12011,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1408 Samouay,2022,4707,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1408 Samouay,2023,4923,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0902 Kham,2016,12155,,,,,
LSB: Population (Estimated-single age),0303 Long,2023,42449,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0902 Kham,2019,12618,,,,,
LSB: Population (Estimated-single age),0705 Houamuang,2023,35988,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0902 Kham,2017,12307,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1408 Samouay,2020,4298,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0902 Kham,2018,12457,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1408 Samouay,2021,4497,,,,,
LSB: Population (Estimated-single age),0705 Houamuang,2021,35488,,,,,
LSB: Population (Estimated-single age),0705 Houamuang,2022,35742,,,,,
LSB: Population (Estimated-single age),0303 Long,2020,40124,,,,,
LSB: Population (Estimated-single age),0303 Long,2021,40918,,,,,
LSB: Population (Estimated-single age),0303 Long,2022,41695,,,,,
LSB: Population (Estimated-single age),0705 Houamuang,2020,35211,,,,,
LSB: Children under 5 years (Estimated),1407 Lao-ngam,2022,9264,,,,,
LSB: Births Live (Estimated),1606 Phonthong (Champasak),2020,1730,,,,,
LSB: Children under 5 years (Estimated),1407 Lao-ngam,2023,9331,,,,,
LSB: Births Live (Estimated),1606 Phonthong (Champasak),2022,1707,,,,,
LSB: Births Live (Estimated),1606 Phonthong (Champasak),2021,1720,,,,,
LSB: Births Live (Estimated),1606 Phonthong (Champasak),2023,1693,,,,,
LSB: Children under 5 years (Estimated),1407 Lao-ngam,2020,9150,,,,,
LSB: Children under 5 years (Estimated),1407 Lao-ngam,2021,9203,,,,,
LSB: Births Live (Estimated),1601 Pakxe,2015,1381,,,,,
LSB: Births Live (Estimated),1601 Pakxe,2016,1236,,,,,
LSB: Births Live (Estimated),1601 Pakxe,2019,1243,,,,,
LSB: Births Live (Estimated),0505 Paktha,2020,546,,,,,
LSB: Births Live (Estimated),0505 Paktha,2021,536,,,,,
LSB: Births Live (Estimated),1601 Pakxe,2017,1240,,,,,
LSB: Births Live (Estimated),1601 Pakxe,2018,1243,,,,,
LSB: Births Live (Estimated),0505 Paktha,2022,529,,,,,
LSB: Births Live (Estimated),0505 Paktha,2023,519,,,,,
LSB: Children under 5 years (Estimated),1209 Xaibouathong,2015,3763,,,,,
LSB: Children under 5 years (Estimated),1209 Xaibouathong,2016,3798,,,,,
LSB: Children under 5 years (Estimated),1209 Xaibouathong,2017,3821,,,,,
LSB: Children under 5 years (Estimated),1209 Xaibouathong,2018,3831,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1104 Bolikhan,2019,14190,,,,,
LSB: Births Live (Estimated),1208 Xebangfai,2022,709,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1104 Bolikhan,2015,12664,,,,,
LSB: Births Live (Estimated),1208 Xebangfai,2023,689,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1104 Bolikhan,2016,13055,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1104 Bolikhan,2017,13439,,,,,
LSB: Births Live (Estimated),1208 Xebangfai,2020,751,,,,,
LSB: Births Live (Estimated),1208 Xebangfai,2021,731,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1104 Bolikhan,2018,13818,,,,,
LSB: Births Live (Estimated),0605 Nambak,2023,1562,,,,,
LSB: Births Live (Estimated),1601 Pakxe,2022,1242,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1104 Bolikhan,2022,15275,,,,,
LSB: Births Live (Estimated),0605 Nambak,2022,1584,,,,,
LSB: Births Live (Estimated),1601 Pakxe,2023,1239,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1104 Bolikhan,2023,15636,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1107 Xaichamphon,2020,272,,,,,
LSB: Births Live (Estimated),1601 Pakxe,2020,1243,,,,,
LSB: Births Live (Estimated),1601 Pakxe,2021,1244,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1107 Xaichamphon,2023,262,,,,,
LSB: Births Live (Estimated),0605 Nambak,2021,1601,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1604 Pakxong,2022,2028,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1107 Xaichamphon,2021,268,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1104 Bolikhan,2020,14551,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1604 Pakxong,2023,2026,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1107 Xaichamphon,2022,265,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1104 Bolikhan,2021,14914,,,,,
LSB: Births Live (Estimated),0605 Nambak,2020,1618,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0608 Phonxai,2016,7794,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0608 Phonxai,2015,7632,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0608 Phonxai,2018,8112,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0608 Phonxai,2017,7952,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0608 Phonxai,2019,8280,,,,,
LSB: Births Live (Estimated),0505 Paktha,2017,588,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1008 Met,2016,501,,,,,
LSB: Births Live (Estimated),0505 Paktha,2018,575,,,,,
LSB: Births Live (Estimated),0505 Paktha,2015,578,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1008 Met,2018,393,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1008 Met,2017,389,,,,,
LSB: Births Live (Estimated),0505 Paktha,2016,600,,,,,
LSB: Births Live (Estimated),1208 Xebangfai,2019,781,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1008 Met,2019,398,,,,,
LSB: Births Live (Estimated),1208 Xebangfai,2017,837,,,,,
LSB: Births Live (Estimated),0505 Paktha,2019,561,,,,,
LSB: Births Live (Estimated),1208 Xebangfai,2018,809,,,,,
LSB: Births Live (Estimated),1208 Xebangfai,2015,739,,,,,
LSB: Population (Estimated-single age),0106 Xaithani,2023,254453,,,,,
LSB: Births Live (Estimated),0605 Nambak,2019,1665,,,,,
LSB: Births Live (Estimated),1208 Xebangfai,2016,861,,,,,
LSB: Population (Estimated-single age),0106 Xaithani,2021,241486,,,,,
LSB: Population (Estimated-single age),0106 Xaithani,2022,248009,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0902 Kham,2022,13101,,,,,
LSB: Births Live (Estimated),0605 Nambak,2016,1784,,,,,
LSB: Births Live (Estimated),0605 Nambak,2015,1914,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0902 Kham,2023,13266,,,,,
LSB: Births Live (Estimated),0605 Nambak,2018,1708,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0902 Kham,2020,12776,,,,,
LSB: Births Live (Estimated),0605 Nambak,2017,1747,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0902 Kham,2021,12938,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1604 Pakxong,2017,2174,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1604 Pakxong,2018,2149,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1604 Pakxong,2016,2403,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1302 Outhoumphon,2018,25231,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1302 Outhoumphon,2019,25608,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1008 Met,2021,407,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1302 Outhoumphon,2016,24425,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1302 Outhoumphon,2017,24839,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1008 Met,2020,404,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1008 Met,2023,417,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1008 Met,2022,412,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1302 Outhoumphon,2015,23989,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1604 Pakxong,2019,2117,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1302 Outhoumphon,2021,26310,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1302 Outhoumphon,2022,26627,,,,,
LSB: Population (Estimated-single age),1102 Thaphabat,2023,29847,,,,,
LSB: Population (Estimated-single age),1102 Thaphabat,2022,29465,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1302 Outhoumphon,2020,25971,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1604 Pakxong,2020,2075,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1604 Pakxong,2021,2028,,,,,
LSB: Children under 5 years (Estimated),0811 Xaisathan,2020,1940,,,,,
LSB: Population (Estimated-single age),0710 Xon,2016,16828,,,,,
LSB: Population (Estimated-single age),0710 Xon,2017,17086,,,,,
LSB: Population (Estimated-single age),0710 Xon,2015,16567,,,,,
LSB: Population (Estimated-single age),1102 Thaphabat,2021,29096,,,,,
LSB: Children under 5 years (Estimated),0811 Xaisathan,2023,1925,,,,,
LSB: Population (Estimated-single age),1102 Thaphabat,2020,28706,,,,,
